出发城市,到达城市,高铁时间,高铁费用
广州,福州,2.308037032987843,384.28816599247585
广州,大理,4.4875824094691685,747.1824711766167
广州,恩施,2.9198593509434443,486.1565819320835
广州,潜江,2.6980206623815355,449.2204402865257
广州,咸宁,2.503737390138018,416.87227545798004
广州,三亚,2.2215185683331224,369.8828416274649
广州,惠州,0.39353529383156577,65.5236264229557
广州,朔州,5.994026777782394,998.0054585007686
广州,常德,2.2449029804238347,373.7763462405685
广州,攀枝花,4.092143849590212,681.3419509567702
广州,晋城,4.569273441848815,760.7840280678278
广州,琼海,1.7238934220937543,287.0282547786101
广州,可克达拉,12.391391295856693,2063.1666507601394
广州,成都,4.100682257567443,682.7635958849793
广州,临高,1.711565797200881,284.9757052339467
广州,台州,3.4024839886892013,566.5135841167521
广州,定西,5.377636241103798,895.3764341437824
广州,楚雄州,4.03253749689526,671.4174932330608
广州,嘉峪关,7.752721151029461,1290.8280716464053
广州,扬州,3.973057001770419,661.5139907947748
广州,雄安新区,5.922000025003373,986.0130041630617
广州,济源,4.416100243844555,735.2806906001185
广州,北京,6.278332460722887,1045.3423547103607
广州,儋州,1.8423158137009514,306.74558298120843
广州,呼和浩特,6.5646082256418765,1093.0072695693725
广州,中山,0.23056737707542227,38.38946828305781
广州,贵阳,2.5839890231904152,430.2341723612042
广州,丽江,4.595937928286846,765.2236650597598
广州,安庆,2.9993232719684815,499.3873247827522
广州,五家渠,11.037973817286773,1837.822640578248
广州,南充,3.7067258066387345,617.1698468053494
广州,潍坊,5.354470491723163,891.5193368719067
广州,贺州,0.7441916898200479,123.907916355038
广州,邵阳,1.6312868486528105,271.60926030069294
广州,通化,7.91847674128584,1318.4263774240924
广州,杭州,3.4893058982952287,580.9694320661556
广州,泸州,3.3602485782958285,559.4813882862555
广州,汕尾,0.7324509107993746,121.95307664809589
广州,济南,5.147073162395008,856.9876815387689
广州,河源,0.5398629445082215,89.88718026061889
广州,衡阳,1.409250994331011,234.64029055611334
广州,马鞍山,3.597720871073032,599.02052503366
广州,迪庆,4.860234936680524,809.2291169573074
广州,鄂尔多斯,6.188643856953596,1030.4092021827737
广州,清远,0.22151413059369598,36.88210274385038
广州,邢台,5.166703199416715,860.2560827028831
广州,七台河,9.93172796370171,1653.6327059563348
广州,铁岭,7.800528044684329,1298.7879194399409
广州,海口,1.5544008190455632,258.80773637108626
