名字,开放时间,评分,建议游玩时间,门票,来源城市,纬度,经度
五指山Wuzhishan,7:30-16:00,5.0,2.5,0.0,三亚,18.2528,109.5119
孙中山故居纪念馆Sun Yat-Sen Memorial Hall,09:00-17:30,4.6,2.5,0.5,中山,22.5159,113.3926
雪山峡谷演艺公园Snow Mountain Canyon Park,8:00-17:30,4.8,1.5,800.0,丽江,26.8721,100.2296
石花水洞Shihua Water Tunnel,09:00-17:00,4.5,1.5,60.0,儋州,19.5209,109.582
红螺寺Hongluo Temple,08:30-17:00,4.8,3.5,54.0,北京,39.9042,116.4074
阆中古城地质矿物博览馆Langzhong Ancient City Geological Exhibition Hall,09:00-18:00,4.9,2.5,45.0,南充,30.8375,106.0806
石梁飞瀑Shiliang Waterfall,8:00-16:00,4.7,3.0,50.0,台州,28.6564,121.4208
乌素图召Wusutuzhao Temples,8:00-18:00,4.8,2.5,5.0,呼和浩特,40.8426,111.749
印象林花生态谷Impression Linhua Ecological Valley,9:00-16:30,4.5,2.5,60.0,咸宁,29.8413,114.3228
内城Neicheng,8:30-18:00,4.5,1.0,120.0,嘉峪关,39.8023,98.2901
张家花园Zhangjia Garden,8:00-19:00,5.0,1.5,80.0,大理,25.6065,100.2676
天柱山Tianzhu Mountain,7:00-17:30,4.7,108.0,130.0,安庆,30.5086,117.0472
天井峡景区Tianjing Gorge Scenic Area,7:00-18:00,4.6,12.0,20.0,定西,35.5807,104.6266
龙王洞Longwang Cave,08:30-16:30,4.7,1.0,50.0,常德,29.0316,111.6537
中山纪念堂Sun Yat-Sen Memorial,09:00-17:30,4.7,2.5,138.0,广州,,
神农溪纤夫文化走廊Shennong Stream Qianfu Cultural Tourism Area,08:30-17:30,4.4,2.75,95.0,恩施,30.2722,109.488
惠州西湖Huizhou West Lake,8:00-21:00,4.6,12.0,4.0,惠州,23.1103,114.4168
成都爱道堂,8:30-17:00,5.0,1.5,0.0,成都,30.5728,104.0668
瘦西湖Slender West Lake,06:30-17:30,4.7,4.5,95.0,扬州,32.3929,119.421
青龙洞Qinglong Cave,8:00-16:00,4.6,1.5,20.0,攀枝花,26.5823,101.716
珏山Jueshan Mountain,8:00-5:00,4.6,3.5,50.0,晋城,35.4907,112.8513
金沙滩生态旅游区Golden Beach Ecotourism Area,8:00-19:00,3.9,72.0,258.0,朔州,39.3316,112.432
富春江Fuchun River,8:00-17:00,5.0,2.0,1.0,杭州,30.2741,120.1551
永仁方山Yongren Square Mountain,08:00-18:00,4.7,2.0,10.0,楚雄州,25.0367,101.546
玄武山（元山寺）Xuanwu Mountain (Yuanshan Temple),8:30-17:00,4.6,1.5,8.0,汕尾,22.7877,115.3751
万绿湖风景区Wanlu Lake Scenic Spot,09:00-14:00,4.6,2.95,31.8,河源,23.7338,114.7074
泸州老窖景区,9:00-17:00,4.8,1.5,35.0,泸州,28.8724,105.4479
济南动物园Jinan Zoo,08:30-17:00,4.7,4.0,23.4,济南,36.6512,117.1201
济渎庙Jidu Temple,08:00-17:30,4.6,2.5,7.0,济源,35.0671,112.5876
雷琼海口火山群世界地质公园Leiqiong UNESCO Global Geopark,8:00-18:00,4.6,2.5,45.0,海口,20.0442,110.1983
美林湖温泉Mayland Resort Hotel,09:00-00:00,4.7,2.5,118.0,清远,23.682,113.0118
黄花溪Huanghua Creek,08:00-17:30,4.6,2.5,90.0,潍坊,36.7068,119.1035
白石岭Baishi Ridge,8:30-17:30,4.6,3.0,30.0,琼海,19.2592,110.4745
林则徐纪念馆Lin Zexu Memorial Hall,8:30-17:00,4.7,1.25,279.0,福州,26.0745,119.2965
罗荣桓故居Luoronghuan Former Residence,9:00-17:00,4.6,2.5,0.0,衡阳,26.893,112.5707
黔灵山公园Qianling Mountain Park,07:00-18:00,4.6,3.5,9.0,贵阳,26.6477,106.6302
姑婆山Gupo Mountain,08:00-17:00,4.6,12.0,60.0,贺州,24.4033,111.5672
梅里雪山国家公园Meili Snow Mountain,6:00-16:30,4.7,108.0,8.0,迪庆,27.8268,99.7071
龙湾群国家森林公园四方顶景区,07:00-17:00,5.0,12.0,50.0,通化,41.7212,125.9406
柏乡牡丹世界旅游景区,9:00-18:00,5.0,2.5,30.0,邢台,37.07,114.504
鄂尔多斯大草原Ordos Prairie,8:00-22:00,4.6,6.0,39.9,鄂尔多斯,39.6085,109.7813
铁煤蒸汽机车博物馆Tiemeizhengqijiche Museum,08:30-16:00,4.4,1.0,80.0,铁岭,42.286,123.8443
马鞍山马钢盆山Ma'anshan Magangpen Mountain,8:00-17:00,5.0,72.0,5.0,马鞍山,31.6765,118.5065
